startup_id,name,website,city,country,region,primary_industry,industry_tags,industry_raw,description,founded_year,funding_usd,funding_raw,revenue_usd,revenue_raw,funding_stage,last_round_raw,team_size_min,team_size_max,team_size_category,team_size_raw,founders_list,investors_list
S0011,Flytrex Aviation Ltd.,https://www.buccaneers.com/,Tel Aviv,Israel,Middle East,EV/Mobility,EV/Mobility,Delivery/Logistics,Flytrex offers tailored end to end drone delivery solutions for corporations around the world.,2013.0,60000000.0,$60M,,,Series C,Series C,,,,,Yariv Bash,
S0012,Novee Security,https://novee.security/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Novee is an AI penetration testing platform that continuously tests enterprise environments the way real attackers operate — starting with zero knowledge, no agents, and no source code access required. Purpose-trained AI models reason about an organization's environment from the outside in, uncoveri...",2025.0,51500000.0,$51.5M,,,Series A,Series A,10.0,10.0,1-10,10 employees,,
S0013,Act (act.security),https://act.security,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,Act(act.security) - Cyber Security -Israel-based Medigate spinoff securing cloud & data hubs,2025.0,40000000.0,$40M,,,Series A,Series A,,,,,,
S0014,Syremis Therapeutics,https://syremis.com/,Tel Aviv,Israel,Middle East,Healthcare/Biotech,Healthcare/Biotech,Pharma,"Syremis Therapeutics was founded in 2025. Where is Syremis Therapeutics headquartered? Syremis Therapeutics is headquartered in Tel Aviv, Israel. What ...",2025.0,165000000.0,$165M,,,Series A,Series A,,,,,,
S0015,Irregular (formerly Pattern Labs),https://www.irregular.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"About us. Irregular (formerly Pattern Labs) is the first frontier security lab, building defenses that uncover vulnerabilities and secure ...",2023.0,80000000.0,$80M,,,Series A,Series A,20.0,20.0,11-50,20 employees,Dan Lahav | Eli David,
S0016,Remedio (formerly GYTPOL),https://consultaremedios.com.br/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Tal Kollender ; Tel Aviv, Israel · Open University of Israel · Cybersecurity entrepreneur, CEO of Remedio · Founding Remedio (formerly Gytpol) ...",2019.0,65000000.0,$65M,,,,,,,,,,
S0017,ORION Security,https://www.orionsec.io/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"ORION prevents data loss by analyzing data in motion with context-aware, proprietary AI agents, significantly reducing operational overhead and false positives while drastically increasing the number of real incidents detected and prevented.

Our specialized agents understand the context behind ever...",2024.0,6000000.0,$6M,,,Seed,Seed,,,,,,
S0018,Vega Security,https://vega-security.com/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Vega Security'score offerings revolve around advancedsecuritysolutions designed to safeguard individuals and businesses against various threats. Their primary products include state-of-the-art surveillance systems, access control mechanisms, and cybersecurity software. Each product addresses speci.....",2023.0,120000000.0,$120M,,,Series B,Series B,,,,,,
S0019,koi security,https://www.koi.ai/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Koi Security LTD Yehuda Ha-Levi St 34, 6513616. Tel Aviv, Israel. Koi Security INC 1901 Pennsylvania Avenue NW, Suite 900. Washington D.C. 20006. hello@koi.ai.",2023.0,48000000.0,$48.0M,,,Series A,Series A,,,,,,
S0020,Converge Bio,https://converge-bio.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Converge Bio is accelerating drug development through GenAI-powered innovations in discovery, molecule design and manufacturing to create the therapies of ...",2024.0,25000000.0,$25M,16399999999.999998,$16.4B,Series A,Series A,,,,,,
S0021,WINN AI,https://winn.ai/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Winn.AIis a series Acompanybased in Tel Aviv(Israel), founded in 2021 by Eldad Postan-Koren and Bar Haleva. It operates as a Platform offering AI based virtual assistant solutions for salespeople.Winn.AIhas raised $35M in funding from investors like Insight Partners, S Capital VC and ...",2021.0,35000000.0,$35M,,,Series A,Series A,25.0,25.0,11-50,25 employees,,
S0022,Ukko (ukko.us),https://ukko.us,Tel Aviv,Israel,Middle East,Healthcare/Biotech,Healthcare/Biotech,Biotech,Claim page This page was created when someone associated with Ukko(ukko.us) joined F6S. Verified Ukko(ukko.us) employees can claim the page to update it,2016.0,7100.0,$7.1k,12100000.0,$12.1M,Series B,Series B,,,,,,
S0023,Classiq,https://www.classiq.io/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"With growing numbers of qubits and a need for increasingly large or complex quantum circuits, manual coding becomes impractical, and at times impossible. Classiq’s software changes that. The Classiq Platform searches the problem set and synthesizes a quantum circuit according to your model, constrai...",2020.0,47000000.0,$47m,,,Series C,Series C,,,,,,
S0024,Seemplicity,https://seemplicity.io/,Tel Aviv,Israel,Middle East,Other,Other,"Park, Nj","Seemplicity revolutionizes the way security teams work by automating, optimizing and scaling all risk reduction workflows in one workspace.",2020.0,82200000.0,$82.2M,,,Series B,Series B,,,,,,
S0025,NextSilicon,https://www.nextsilicon.com/,Tel Aviv,Israel,Middle East,Robotics/Hardware,Robotics/Hardware,Hardware,"We believe in a smarter future and want to create new opportunities for innovation. In order to achieve this, we’re rethinking compute architectures for the future of computer processing.",2017.0,,,,,Series C,Series C,330.0,330.0,251-1000,330 employees,,
S0026,ForSight Robotics,https://www.forsight.ai/,Tel Aviv,Israel,Middle East,Robotics/Hardware,Robotics/Hardware,Robotics,"For Sight Robotics is redefining quality surgical eye care with ORYOM, the first robotic surgery platform for cataracts and widespread eye diseases.",2020.0,10000000.0,$10M,,,Series B,Series B,,,,,,
S0027,SecondNature AI,https://secondnature.ai/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Tel Aviv, Israel. Products, AI Role Play Training. Website, secondnature.ai. In 2025 it was included in the ""50 most promising Israeli startups - 2025"" list by ...",2018.0,15500000.0,$15.5M,,,Series B,Series B,45.0,45.0,11-50,45 employees,,
S0028,Zero Networks,https://zeronetworks.com/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Preventing attacks from spreading and causing damage by automatically restricting network access to only what is normally needed, everything else goes through 2-step verification.",2019.0,99900000.0,$99.9M,24200000.0,$24.2M,Series C,Series C,45.0,45.0,11-50,45 employees,,
S0029,Cato Networks,https://www.catonetworks.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Cato Networks Ltd. is a Tel Aviv, Israel-based network security company that develops Secure Access Service Edge (SASE) technology.",2015.0,359000000.0,$359M,,,Series E+,Series G,,,,,,
S0030,Clover Security,https://clover.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,Clover Security design-led product security with AI agents that act like experienced security architects and extend the team's reach.,2023.0,36000000.0,$36M,,,Series A,Series A,,,,,Alon Kollmann | Or Chen,
S0031,Sweet Security,https://www.sweet.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Sweet Security is redefining enterprise cloud protection. As the leading provider of Runtime CNAPP and AI Security solutions, Sweet unifies runtime context with ...",2023.0,75000000.0,$75M,,,Series B,Series B,,,,,,
S0032,QEDMA,https://www.qedma.com/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"Qedma is developing a new operating system which aims to propel the most important computation revolution of our lifetime - quantum computation. With the potential to address some of humanity's most pressing problems, quantum computation is expected to define what computation is in the coming decade...",2020.0,26000000.0,$26M,5000000000.0,$5B,Series A,Series A,,,,,,
S0033,Token Security,https://www.token.security/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,SaaS,"Token Securityis a non-human identity security firm that scans tech stacks to detect machine identities and prevent breaches.Jan 29, 2025 ·Based in Israel,Token Securityhelps organizations manage machine credentials across cloud, SaaS, and on-premises systems.May 20, 2024 ·Token Security, an Israeli...",,20000000.0,$20M,,,Series A,Series A,50.0,50.0,11-50,50 employees,,
S0034,Bluewhite,https://www.bluewhite.ai/,Tel Aviv,Israel,Middle East,EV/Mobility,EV/Mobility,Autonomous Vehicles,"Bluewhite is redefining autonomy with Field Intelligence AI, our proprietary AI engine, that drives efficiency, reduces labor dependency, and enhances safety ...",2017.0,76000000.0,$76M,,,Series C,Series C,,,,,,
S0035,Noma Security,https://noma.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,Noma Security helps avoid overload by putting agentic AI risk in the context of business priorities. Whether securing data pipelines or managing GenAI models or ...,2023.0,100000000.0,$100M,,,Series B,Series B,,,,,,
S0036,Axiom Security,https://www.axiomsec.com/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"We recently announced something exciting: Okta signed a definitive agreement to acquire Axiom Security, a modern, identity-centric privileged access management (PAM) solution. Our teams plan to integrate key Axiomfunctionality into Okta Privileged Access over the coming months, which will allow us t...",2021.0,100000000.0,$100m,,,Seed,Seed,50.0,50.0,11-50,50 employees,,
S0037,Xtend.me,https://www.xtend.me/,Tel Aviv,Israel,Middle East,Robotics/Hardware,Robotics/Hardware,Drones/UAV,"View info about Xtend (xtend.me). Xtendis acompanylocated in Tel Aviv, Israel, Israel. Find employees, official website, emails, phone numbers, revenue, employee headcount, social accounts, and anything related to Xtend.",2018.0,5000000.0,$5m,,,Series B,Series B,,,,,,
S0038,"IVIX TECH, INC.",https://www.ivix.ai/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"IVIXmay be growing as it has recently closed a $12.5 million Series A funding round led by Insight Partners, which is a strong indicator of investor confidence and financial backing for expansion.",2020.0,60000000.0,$60M,,,Series A,Series A,,,,,,
S0039,Finout,https://www.finout.io/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"Experience the ultimate Fin Ops tool with Finout - the all-in-one solution designed to meet the needs of companies of any size. Effortlessly streamline your Fin Ops management with Finout's robust features, including instant tagging, zero fees cost optimization, and a comprehensive cost governance s...",2021.0,40000000.0,$40M,,,Series C,Series C,,,,,,
S0040,Voyantis,https://www.voyantis.ai/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Voyantis is a leading LTV prediction platform that powers decisions of performance marketing teams. Our platform provides accurate future lifetime value for each user shortly after acquisition, allowing marketing teams to optimize revenues and make data-driven decisions.
Voyantis has been chosen to ...",2020.0,41000000.0,$41M,,,,,,,,,,
S0041,Stream Security (Formerly Lightlytics),https://www.stream.security/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,SaaS,"Tel Aviv, Israel-based Stream Security (formerly Lightlytics)recently announced its entrance into the Cloud Security space with the launch of its upgraded real-time Cloud Twin technology. Thecompanyis now all in on Cloud Sec Ops.",2020.0,,,,,,,,,,,,
S0042,UNKJD (ex MonkeyLeague),https://www.unkjd.com/,Tel Aviv,Israel,Middle East,Fintech,Fintech,Crypto/Web3,"Overview Tel Aviv,Israel Founded 2020 Raised from Max Stealth and 22 more See all investors unkjd.com",2021.0,,,,,,,,,,,,
S0043,Lightrun,https://lightrun.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Lightrunis an AI SRE platform that handles alerts, provides live runtime context to investigate incidents, and resolves issues in minutes with verified root cause analysis.",2021.0,70000000.0,$70M,,,Series B,Series B,100.0,100.0,51-250,100 employees,,
S0044,Riverside.fm,https://riverside.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"""Riverside's New AI Tools Can Quickly Turn Podcasts Into Shareable Clips"". Peta Pixel. ^ ""Video creation platform Riverside.fm launches new Clips feature"".",2019.0,30000000.0,$30M,,,Series C,Series C,,,,,,
S0045,Ibex Medical Analytics,https://ibex-ai.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Currently, thestartupis focused on expanding its reach in the US.Ibexemploys about 40 people across its offices in Tel Aviv, its tech base, and Europe, where its commercial team is...",2016.0,118500000.0,$118.5M,5300000.0,$5.3M,Series C,Series C,40.0,40.0,11-50,40 employees,,
S0046,qbiq AI,https://www.qbiq.ai/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"qbiq is a groundbreaking AI-powered platform designed to revolutionize real estate planning and visualization for brokers, leasing teams, property managers, and designers alike. With its state-of-the-art technology, qbiq instantly generates customized layout alternatives, rendered images and 3D virt...",2019.0,26000000.0,$26M,,,Series A,Series A,200.0,200.0,51-250,200 employees,,
S0047,Humanz,https://www.humanz.com/,Tel Aviv,Israel,Middle East,Media/Entertainment,Media/Entertainment,Marketing/AdTech,"Humanz Developed a big data platform that harvests and analyses data from various social networks. (Twitter, You Tube, Linked In & Instagram more)
Our platform enables marketers to discover, approach & work with Micro Influencers, Bloggers and market Guru’s from all Social Networks.
We are the only ...",2017.0,15000000.0,$15M,,,Series B,Series B,,,,,,
S0048,Prisma Photonics,https://www.prismaphotonics.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI/ML,"Prisma Photonics offers a unique “sensor-free” solution for long physical infrastructure. It is based on pre-existing fiber cables. The fiber is the sensor, no need to install any sensors along the monitored physical asset. The solution covers various use-cases (safety, security, maintenance, and pr...",2017.0,80000000.0,$80M,,,Series D,Series D,,,,,,
S0049,Magenta Medical,https://www.medicaldevice-network.com/,Tel Aviv,Israel,Middle East,Healthcare/Biotech,Healthcare/Biotech,HealthTech,"Magenta is developing miniaturized catheter-mounted axial flow-pumps for mechanical circulatory support indications, based on Magenta’s core technology of self-expanding impellers and pump heads.",2012.0,4000000.0,$4m,,,Series B,Series B,,,,,,
S0050,Syte - Visual conception,https://www.syte.ai/,Tel Aviv,Israel,Middle East,E-Commerce/Retail,E-Commerce/Retail,Fashion,"Syte has developed next generation deep learning technologies focused on image recognition and prediction. Founded in 2015, Syte has spent the past three years working solely on perfecting their accuracy in visual intelligence. Now, Syte has emerged into the market holding the leading visual search ...",2015.0,71000000.0,$71M,,,,,,,,,,
S0051,ZenCity,https://zencity.io/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"In today’s complex urban world, city officials need advanced tools to quickly and easily understand their city, and especially their citizens. What do people in the city really care about? What are they pleased with, and what would they like to change?
Today, city officials use a variety of archaic ...",2015.0,13500000.0,$13.5M,,,Series C,Series C,,,,,,
S0052,Attestable,https://attestable.app/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Attestableis taking a markedly different angle. Pitch Book describes the company as developing an “AI trust-layer” designed to ensure system integrity by verifying models, prompts, and outputs, allowing organizations to secure AI use and prevent malicious tampering. The focus reflects...",2025.0,18500000.0,$18.5M,,,Seed,Seed,10.0,10.0,1-10,10 employees,Shahar Papini | Yogev Bar,
S0053,"Opti, Inc",https://www.opti.ai/,Tel Aviv,Israel,Middle East,Other,Other,Fund,,2024.0,20000000.0,$20M,,,Seed,Seed,50.0,50.0,11-50,50 employees,,
S0054,Mate Security,https://mate.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Mate automates investigations with the business context others miss.
Your new SOC Team Mate learns your tools, policies, and operations in hours - who travels where, approved exceptions, how systems work, and investigates every alert with this intelligence. Investigations that once took 45 minutes n...",2025.0,,,,,Seed,Seed,,,,,,
S0055,Tenzai,https://tenzai.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,,2025.0,,,,,Seed,Seed,,,,,,
S0056,AIR (airev.aero),https://airev.aero,Tel Aviv,Israel,Middle East,Robotics/Hardware,Robotics/Hardware,Drones/UAV,"AIR (airev.aero) is revolutionizing everyday mobility for everyday people, empowering individuals to seize the power of personal flight. Combining aerospace ...",2018.0,23000000.0,$23M,,,Seed,Seed,100.0,100.0,51-250,100 employees,,
S0057,Datafy (datafy.io),https://datafy.io,Tel Aviv,Israel,Middle East,Other,Other,,Optimize cloud storage costs with Datafy. Our solution auto-scales your EBS storage so you only pay for the storage you use saving you up to 50%.,2023.0,,,,,,,,,,,,
S0058,"Sola Security, Inc",https://sola.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Co-Founder & COO. Details. Legal Name Sola Security, Inc. Operating Status Active. Company Type For Profit. Founders Guy Flechter, Ron Peled. About the Company.",2024.0,35000000.0,$35.0M,,,Series A,Series A,,,,,,
S0059,sett.ai,https://www.sett.ai/,Tel Aviv,Israel,Middle East,Media/Entertainment,Media/Entertainment,Gaming,Contact Information. Website. www.sett.ai. Ownership Status. Privately Held (backing). Financing Status. Venture Capital-Backed. Corporate Office. Tel Aviv ...,2022.0,15000000.0,$15M,,,Series A,Series A,,,,,,
S0060,Appcharge,https://appcharge.com/,Tel Aviv,Israel,Middle East,Fintech,Fintech,Payments/Fintech,"Appcharge is a global payment and commerce platform for mobile game publishers, headquartered in Tel Aviv, Israel, with offices in Helsinki, London, and Seoul.",2022.0,58000000.0,$58M,,,Series B,Series B,,,,,,
S0061,ONE ZERO BANK,https://www.onezerobank.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"12 Feb 2024—One Zero Bank, Israel's first private digital bank and a world-leading institution in the integration of AI technology into banking services.",2019.0,120000000.0,$120M,,,,,,,,,,
S0062,Clutch Security,https://www.clutch.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Clutch Securityis a series Acompanybased in Tel Aviv(Israel), founded in 2023 by Tal Kimhi, Ofir Har Chen and Sagi Haas. It operates as a Provider of identity management solutions.Jan 29, 2025 ·Israeli cybersecurity company Clutch Security, which develops a platform for securing non-huma...",2023.0,20000000.0,$20M,,,Series A,Series A,50.0,50.0,11-50,50 employees,,
S0063,Feminai,https://www.feminai.com/,Tel Aviv,Israel,Middle East,Healthcare/Biotech,Healthcare/Biotech,Healthcare,Self breast exam for every body. Feminai is an innovative healthcare startup on a mission to transform breast cancer screening.,2022.0,6000000.0,$6M,,,Seed,Seed,,,,,,
S0064,Rapid Medical,https://www.rapid-medical.com/,Tel Aviv,Israel,Middle East,Healthcare/Biotech,Healthcare/Biotech,Biotech,"About Rapidmedical We are the only company that offers both SaaS + last-milemedicallogistics services to health systems, labs, pharmacies, DME providers and payers.",2008.0,79000000.0,$79M,,,Seed,Seed,,,,,,
S0065,Zenity,https://zenity.io/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"See all the latest career opportunities at Zenity, the leading security governance platform for securing AI Agents everywhere.",2021.0,55000000.0,$55M,19400000.0,$19.4M,Series B,Series B,,,,,,
S0066,groundcover,https://www.groundcover.com/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"groundcoveris a series B company based in Tel Aviv(Israel), founded in 2021 by Yechezkel Rabinovich and Shahar Azulay. It operates as a Platform offering container monitoring software. groundcover has raised $60M in funding from Zeev Ventures.Groundcoveris a K8s application monitoring...",2021.0,60000000.0,$60M,,,Series B,Series B,,,,,,
S0067,8fig,https://8fig.io/,Tel Aviv,Israel,Middle East,Fintech,Fintech,Fintech,"21 Oct 2025—The acquisition gives 8fig, which had previously raised $75 million, access to Bizcap's global capital and operational network.",2020.0,240000000.0,$240m,,,Series A,Series A,60.0,60.0,51-250,60 employees,,
S0068,Backslash Security,https://www.backslash.security/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,Software,"Israelistartup Backslash Securityaims to create a safe environment for organizations to accelerate their adoption of “vibe coding” and AI-native software development. Thecompany’s solution provides visibility, control, and Its headquarters are located in the Sarona area of Tel Aviv.",2022.0,8000000.0,$8m,,,Series A,Series A,,,,,,
S0069,OneStep.co,https://onestep.co.il/,Tel Aviv,Israel,Middle East,Healthcare/Biotech,Healthcare/Biotech,Healthcare,"Tel Aviv, Israel. Area served. United States; Israel (primary markets). Key ... https://www.onestep.co. Contents. 1 History; 2 Activities and products; 3 ...",2018.0,48000000.0,$48M,,,Series B,Series B,200.0,200.0,51-250,200 employees,Chief Scientific Officer Yuval Naveh,
S0070,Oligo Security,https://www.oligo.security/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Oligo Securityhas been brought to life by some of the best minds in the world, working from our HQ in Tel Avivand satellite offices in New York and Palo Alto. Our team of advisors and investors include industry visionaries with decades of experience growing world-class security companies.",2022.0,50000000.0,$50.0M,,,Series A,Series A,25.0,25.0,11-50,25 employees,,
S0071,CloudQuery,https://www.cloudquery.io/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Cloud Query- About the company Cloud Queryis a series A company based in Tel Aviv(Israel), founded in 2021. It operates as a Cloud asset inventory management solutions provider.Cloud Queryhas raised $34.5M in funding from investors like Tiger Global Management, Boldstart Ventures and Part...",2021.0,34500000.0,$34.5M,,,Series A,Series A,50.0,50.0,11-50,50 employees,,
S0072,DreamTeam.app (Shapes),https://www.dreamteamfc.com/,Tel Aviv,Israel,Middle East,Other,Other,,,2021.0,9000000.0,$9m,,,,,,,,,,
S0073,Sentra.io,https://www.sentra.io/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,Can't find a relevant position? Have a question? Want to refer a friend? Email us at jobs@sentra.io ...,2021.0,15000.0,$15k,,,Series A,Series A,,,,,,
S0074,Treeverse - the lakeFS creators,https://lakefs.io/,Tel Aviv,Israel,Middle East,Media/Entertainment,Media/Entertainment,Marketing/AdTech,"Simplifying the lives of engineers, data scientists and analysts who are transforming the world with data. Treeverse is a team of passionate data enthusiasts who love all things open source and aim to find creative solutions to big problems.",2020.0,23000000.0,$23M,,,,,,,,,,
S0075,Cymulate,https://cymulate.com/,Tel Aviv,Israel,Middle East,SaaS/Software,SaaS/Software,SaaS,"Cymulate helps companies to verify their security posture and controls through a breach and attack simulation platform that empowers organizations with complex security solutions to safeguard their business-critical assets. By mimicking the myriad of strategies hackers deploy, the system allows busi...",2016.0,141000000.0,$141M,,,Series D,Series D,,,,,,
S0076,Zyg,https://www.zyg.com/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"ZyG, a Tel Aviv, Israel-based AI e-commerce startup, has secured $58 million in Seed funding. Investors The round was led by Bessemer Venture Partners, Viola Ventures, and Lightspeed Venture Partners, with participation from Disruptive AI, Emerge, Access Industries, Stardom Ventures,...",2025.0,58000000.0,$58M,24100000000.0,$24.1B,Seed,Seed,,,,,,
S0077,Tastewise Tech,https://tastewise.io/,Tel Aviv,Israel,Middle East,Other,Other,PetTech,"Tastewise fuels food product innovation, sales, and marketing by helping you predict how consumers cook, order, and eat. No guesswork, no outdated reports.",2018.0,73500000.0,$73.5M,,,Series B,Series B,,,,,,
S0078,Pecan AI,https://www.pecan.ai/,Tel Aviv,Israel,Middle East,AI/ML,AI/ML,AI,"Founded in 2018, Pecan is a cutting-edge predictive analytics platform that leverages its pioneering Predictive GenAI technology to eliminate obstacles to AI adoption.
Pecan democratizes predictive modeling by enabling data and business teams to harness its power without the need for extensive exper...",2018.0,116000000.0,$116M,,,,,,,,,,
S0079,Bigabid,https://www.bigabid.com/,Tel Aviv,Israel,Middle East,Media/Entertainment,Media/Entertainment,Marketing/AdTech,"Thecompanyhas a demand-side platform (DSP) that analyzes data to optimize ad performance and targets users to improve their lifetime value. Biga Bid's services focus on the mobile app ecosystem, offering audience segmentation and insights to improve advertising outcomes. It was founded in 2016 and.....",2016.0,28000000.0,$28M,,,,,,,,,,
S0080,Sygnia,https://www.sygnia.co/,Tel Aviv,Israel,Middle East,Cybersecurity,Cybersecurity,Cybersecurity,"Protect and strengthen your organization with Sygnia’s elite cybersecurity services - incident response, threat hunting, MDR & resilience solutions trusted by global enterprises.",2015.0,250000000.0,$250m,,,,,,,,,,
S0081,Wiliot,https://www.wiliot.com/,Tel Aviv,Israel,Middle East,Robotics/Hardware,Robotics/Hardware,IoT,"At Wiliot, we bring connectivity and intelligence to everyday products and packaging; things previously disconnect from the Internet of Things. The Wiliot Platform combines cloud services and IoT Pixels, computing elements that can power themselves by harvesting radio frequency energy. This revoluti...",2017.0,289000000.0,$289M,,,,,,,,,,
S0082,lumen.,https://www.lumen.me/,Tel Aviv,Israel,Middle East,Other,Other,Fitness/Wellness,Country:Israel| Funding: $79.3M (+) Website: https://lumen.me/Lumenis a device and app that measures your metabolism in a single breath and provides daily personalized nutrition based on your metabolic data.,2014.0,79800000.0,$79.8M,22500000.0,$22.5M,,,,,,,,
